1,Avatar,2782275172.00,2009
2,Titanic,1843201268.00,1997
3,The Lord of the Rings: The Return of the King,1119110941.00,2003
4,Pirates of the Caribbean: Dead Man's Chest,1066179725.00,2006
5,Toy Story 3,1063171911.00,2010
6,Pirates of the Caribbean: On Stranger Tides,1033033768.00,2011
7,Alice in Wonderland,1024299904.00,2010
8,Harry Potter and the Deathly Hallows � Part 2,1012239842.00,2011
9,The Dark Knight,1001921825.00,2008
10,Transformers: Dark of the Moon,994715769.00,2011
11,Harry Potter and the Philosopher's Stone,974755371.00,2001
12,Pirates of the Caribbean: At World's End,963420425.00,2007
13,Harry Potter and the Deathly Hallows � Part 1,955417476.00,2010
14,Harry Potter and the Order of the Phoenix,939885929.00,2007
15,Harry Potter and the Half-Blood Prince,934416487.00,2009
16,The Lord of the Rings: The Two Towers,925282504.00,2002
17,Star Wars Episode I: The Phantom Menace,924317558.00,1999
18,Shrek 2,919838758.00,2004
19,Jurassic Park,914691118.00,1993
20,Harry Potter and the Goblet of Fire,896911078.00,2005
21,Spider-Man 3,890871626.00,2007
22,Ice Age: Dawn of the Dinosaurs,886686817.00,2009
23,Harry Potter and the Chamber of Secrets,878979634.00,2002
24,The Lord of the Rings: The Fellowship of the Ring,870761744.00,2001
25,Finding Nemo,867893978.00,2003
26,Star Wars Episode III: Revenge of the Sith,848754768.00,2005
27,Transformers: Revenge of the Fallen,836297228.00,2009
28,Inception,823576195.00,2010
29,Spider-Man,821708551.00,2002
30,Independence Day,817400891.00,1996
31,Shrek the Third,798958162.00,2007
32,Harry Potter and the Prisoner of Azkaban,796688549.00,2004
33,E.T. the Extra-Terrestrial,792910554.00,1982
34,Indiana Jones and the Kingdom of the Crystal Skull,786636033.00,2008
35,The Lion King,783841776.00,1994
36,Spider-Man 2,783766341.00,2004
37,Star Wars,775398007.00,1977
38,2012,769304749.00,2009
39,The Da Vinci Code,758239851.00,2006
40,Shrek Forever After,752600867.00,2010
42,The Matrix Reloaded,742128461.00,2003
43,Up,731342744.00,2009
44,The Twilight Saga: New Moon,709711008.00,2009
45,Transformers,709709780.00,2007
46,The Twilight Saga: Eclipse,698491347.00,2010
47,Forrest Gump,677387716.00,1994
48,The Sixth Sense,672806292.00,1999
49,Ice Age: The Meltdown,655388158.00,2006
50,Pirates of the Caribbean: The Curse of the Black Pearl,654264015.00,2003
